SMILES,LOG SOLUBILITY PH 6.8 (ug/mL),uidx
O=C(O)c1ccc(CN2CC[C@H](c3nc4cc(Cl)ccc4o3)C2)cc1,1.51054501,1371
Cc1ccccc1-n1nc(C(C)(C)C)cc1N,1.651374944,860
O=C(C1CCCN(Cc2cc3c(cc2O)OCO3)C1)N1CCOCC1,1.746244872,889
NCc1cccnc1OCc1ccccc1,1.406369835,919
CN1CC(=O)N(CCCC(=O)Nc2cccc(C#Cc3cccs3)c2)C1=O,1.635483747,1022
Cc1ccc(OCc2noc(-c3ccsc3)n2)cn1,1.722140125,1443
COCc1nc(C2CCN(CCO)CC2)no1,1.557507202,1763
Cc1ccc(CNC(=O)c2cccnc2)n1C,1.608526034,996
OCCCCCn1cc(-c2ccccc2-c2ccco2)nn1,1.04453976,1068
Cc1ccnc(C2CCN(C3CCCC3)CC2)n1,1.205745541,1358
COc1ccc(C(=O)C2CCN(CC(=O)N(Cc3nc4c(c(=O)[nH]3)COCC4)CC3CC3)CC2)cc1,1.975431809,454
Cc1cnc(CNCc2cccc3c2OCO3)s1,1.542202782,1401
Cc1nc2cc(-c3nccn3C)nn2c(NCc2cccnc2)c1C,1.746011108,1250
Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,1.556423121,1790
C[C@@]1(c2ncncc2F)NC(=O)c2cc(-c3cn[nH]c3)ccc21,1.573741642,81
COc1ccccc1-n1cc2c(c1-c1ccccc1Br)c(=O)n(C)c(=O)n2C,-0.091514981,1855
O=C(c1cc2ccccc2[nH]1)N1C[C@@H](O)[C@H](N2CCOCC2)C1,1.658869592,139
N#Cc1cccc(CN2CCN(CCO)CC2)c1,1.46686762,1568
Cc1noc([C@@H]2C[C@H](NC(=O)c3ccc(F)cc3)CN2C)n1,1.209515015,655
Cc1cc(C)n2ncc(C(=O)NC3CCCCC3)c2n1,0.693726949,1317
O=C(Nc1cccc2cnccc12)c1cccc(F)c1,1.677880582,1670
O=C(CCc1ccc2c(c1)OCO2)Nc1cccc2cnccc12,1.650501795,1046
COCc1ccc(-c2nc3c([nH]2)c(C)nn3C2CCCCC2)o1,1.579326204,1761
COc1ccc(-c2nc(CN3CCC[C@H](O)C3)no2)cc1,1.566201719,1017
Cc1ccc(-n2ccnc2-c2ccoc2)c2cccnc12,1.297979244,1034
COc1ccc(-c2csc3ncnc(Oc4ccc(C)nc4)c23)cc1,0.892651034,932
Cc1nnc(-c2ccc3occ(-c4ccc(S(C)=O)cc4)c3c2)o1,1.651278014,59
Cc1nnc(-c2cccc(C(=O)O)c2)o1,1.536432176,1647
C1CCC(OCc2noc(C3CC3)n2)CC1,1.209515015,1419
Cc1ccc(-c2csc(CC(N)=O)n2)cc1C,1.55448916,1862
CON(C)C(=O)c1cc2ccc(C(C)(C)C)cc2[nH]1,0.008600172,226
CCCn1cc(C(=O)N2CCC(c3n[nH]cc3C(=O)N3CCOCC3)CC2)cn1,1.733197265,259
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,1.6642658,1494
Cc1cc(C)n(-c2cccc(NC(=O)c3ccc(F)c(F)c3)c2)n1,0.206825876,1247
CN(C)CCN(Cc1ccccc1)Cc1ccccc1O,1.622628426,1168
CC(C)c1nccn1-c1cccc([C@@H]2CCCN2C(=O)CCc2ccccc2)n1,1.707570176,239
Nc1nc(-c2ccccc2)c(C(=O)Nc2ccc(Cl)c(Cl)c2)s1,-0.301029996,1872
c1ccc(-c2c(-c3ccc(OCCN4CCCC4)cc3)[nH]c3ncnc(NCC4SCCS4)c23)cc1,0.57054294,760
O=C(CCNc1ncccn1)N1CCc2ccccc2C1,1.545059585,652
O=C(Cc1csc(-c2ccccn2)n1)NC1CCCCCC1,1.05804623,501
O=C(c1cccs1)N1CCCC(C(=O)N2Cc3ccccc3C(c3ccccc3)C2)C1,1.392696953,1648
Cc1ccc(NC(=O)c2nn(-c3ccccc3)nc2C)cc1,-0.537602002,1978
O=C(CN1CCCC(c2ccc3cn[nH]c3n2)C1)N1CCCC1,1.580069223,236
CCN1CCc2nc(NC(=O)Cc3ccc(Cl)cc3)sc2C1,1.668012972,1276
CCCn1cc(C(=O)N2CCC(c3n[nH]cc3C(=O)N(C)Cc3ccccc3)CC2)cn1,1.656098202,150
O=C1CN(C(=O)c2cccc(Oc3cccc(C(F)(F)F)c3)c2)CCN1,1.591064607,443
Cc1cc(F)ccc1S(=O)(=O)N1CCCc2cnc(N3CCOCC3)nc21,-0.508638306,1936
CC(C)C[C@@H](CO)n1cc(-c2ccccc2Cn2cccn2)nn1,1.230704314,773
O=C(NCc1cccnc1)c1sccc1-c1ccccc1,1.816771412,1396
CC1(C)OCCn2c1nc1c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,0.808885867,458
CCOC(C)C(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,1.810568529,1628
CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12,0.785329835,767
CSCC[C@@H](CO)n1ccnc1-c1oc2ccccc2c1C,1.864511081,557
CCN1CCC(N(C)c2ncnc3c2cnn3C)CC1,1.614897216,136
CCc1cc2c(N3CCN(Cc4nccn4C)CC3)ncnc2s1,1.82445127,2025
CCN(Cc1nc2cc(Cl)ccc2c(=O)[nH]1)C(=O)COc1ccccc1Cc1ccccc1,0.086359831,1742
O=C(COc1ccc2oc3c(c2c1)CCCC3)N1CCOCC1,1.633165354,1666
C[C@H](C(=O)Nc1nc2ccccc2[nH]1)N1Cc2ccccc2C1=O,1.422835969,1769
COc1ccc(/C=C/C(=O)c2c(C)nc3ccccc3c2N)c(OC)c1,1.608739919,1579
O=C(NC1CCCCC1)N1CCc2nc3ccccn3c(=O)c2C1,1.698535493,1613
Cc1ccc(-c2nc(-c3ccncc3)n[nH]2)cc1,1.301247089,1705
CCc1nnnn1Cc1noc2c1CCCC2,1.366236124,317
N#Cc1cc(F)c(N2CCN(CCO)CC2)c(F)c1,1.615739689,544
Cc1nn(C)c2nc(C(C)C)cc(C(=O)O)c12,1.511883361,1679
COc1cc(C(C)C)c2c(c1)S(=O)(=O)N(COc1cc(=O)n3cccc(OCCN4CCCCC4)c3n1)C2=O,1.727459921,209
Cc1cc(C(=O)NCC2CC2)n2nccc2n1,1.702344358,1526
CCc1noc(CN2CCCN(C(C)=O)c3ccccc32)n1,1.743823222,407
Cc1ccc(-c2nc(C(=O)N3CCc4ccccc4C3)cs2)o1,1.555698895,310
Cc1ccc(-c2ccccc2-c2nc3c(cnn3C3CCN(C)CC3)[nH]2)o1,1.606918526,867
CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,1.409764104,65
C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,1.729974286,9
COc1cc(F)ccc1-c1ncnc(Nc2cccc(C[S@@](C)(=N)=O)c2)n1,1.729974286,33
CN(C)c1cccc(C2CCN(c3ncccn3)CC2)n1,1.22685757,1583
CC(C)c1noc(-c2ccc(N(C)Cc3cccnc3)nc2)n1,1.563006187,1016
O=C(Nc1nc2ccccc2[nH]1)c1cc(-c2ccccc2)nc2ccccc12,-0.346787486,2157
Cc1nc(CN2C(=O)CN(C3CCCC3)C2=O)nc2ccccc12,1.633165354,781
Cc1cc2cc(C(=O)N(Cc3ccc4c(c3)OCO4)C3CC3)ccc2o1,1.069668097,1237
Cc1nc(-c2ccc(C)c(O)c2)n(C(C)(C)C)n1,1.08278537,1557
CCOc1ccc(-c2ccccc2NC(=O)COC)cc1,1.571242851,307
CCc1ccccc1NC(=O)c1cc(C)nc2onc(C)c12,1.123851641,520
Cc1nc(NC2(c3cccc(Cl)c3)CC2)c2c(C)noc2n1,1.616790486,1376
CC(=O)Nc1ccc(C(=O)N2CCc3ncncc3C2)cc1,1.527114112,816
O=C1CCCN1c1ccc(CN2CCC(c3noc4cc(F)ccc34)CC2)cc1,1.767823498,355
COc1cccc(CN2CCN(C(=O)Cc3ccc(C)cc3)[C@@H](C)C2)c1,1.643452676,1137
CC(=O)NC1(C(=O)N2CCCN(c3cccnn3)CC2)CCCCC1,1.683587318,1006
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1.CS(=O)(=O)O,1.683047038,975
Cc1c(C(=O)NC2CCN(CC3CCCCC3)CC2)cnn1C,1.689663965,899
Nc1nncc(-c2ccccc2OC(F)F)n1,1.590061231,887
CCc1ccccc1-c1cn(CCc2cnccn2)nn1,1.441695136,604
O=C(CCc1ccco1)Nc1ccccc1OC(F)F,1.649626887,1023
CC(=O)N1CCC(Cn2ccnc2-c2cc3ccccc3s2)CC1,1.546666025,1321
C=CCN(Cc1cccnc1)c1nc(C)nc2sccc12,1.65829765,1134
Fc1ccccc1CN1CCN(c2ncccn2)CC1,1.558708571,470
N#Cc1ccc(COc2cnc3ccccc3n2)cc1,-0.721246399,1799
Cc1ccc(S(=O)(=O)N2CCC[C@H](C(=O)NC3CCOCC3)C2)cc1,1.733598461,800
O=C(Nc1nccs1)C1CCN(C(=O)CN2CCc3ccccc32)CC1,1.710709566,1519
Cc1cnn(Cc2nnc(-c3ccccc3)s2)c1,1.352375495,740
Cc1ccccc1Cn1c(=O)c2c(nc3n(-c4ccccc4O)c(C)cn23)n(C)c1=O,-0.040958608,1873
CCC(CC)NC(=O)c1ccc(C#N)c(C)n1,1.723783937,1655
CC(C)(C)c1csc(NC(=O)C2CC2)n1,1.465977368,197
O=C(c1ccccc1)N1CCN(C(=O)c2ccc(-c3ccccc3Cl)o2)CC1,1.543074235,435
CC(C)n1nnnc1-c1ccc(N)cc1F,1.371806459,1339
Cc1ccc(F)cc1C(=O)N1CCc2c(nc(-c3ccccn3)nc2N(C)C)C1,1.410608543,1777
O=C(Cn1c(-c2ccc(F)cc2)nc2ccccc21)N1CCOCC1,1.736953954,484
Cc1cc(-c2cnn(CCNC(=O)c3sc(C)nc3C)c2C2CC2)on1,1.826851948,112
Cc1ccc(F)cc1CNc1cc(C(=O)N(C)C)ccn1,1.676053125,553
CC(=O)N1CCCN(C(=O)Cc2csc(C(C)C)n2)CC1,1.740993932,1530
CS(=O)(=O)c1ccc(-c2nnc(/C=C/c3nnc(-c4ccc(C#N)cc4)o3)n2-c2ccccc2Cl)nc1,-0.045757491,1831
CC(=O)N1CCN(C(=O)c2ccc(-c3ccc(F)cc3)cc2F)CC1,1.872447648,486
CS(=O)(=O)NC1CCN(C(=O)NCCc2ccc(F)cc2)CC1,1.83193373,660
O=C(Nc1ccc2ccccc2n1)c1ccc(N2CCOC2=O)cc1,0.45484486,61
Cc1ccc2c(CC(=O)NCc3cccs3)coc2c1,0.786751422,380
CCOc1ncccc1-c1cc(Cl)ccc1O,1.356025857,319
COC(=O)N1CCCN(C(=O)c2ccc(-c3ccccc3Cl)o2)CC1,1.770115295,359
Cc1nc(N2CCOc3ccccc3C2)c2cnn(C)c2n1,1.631849462,1105
O=C(NCc1cc(F)cc(F)c1)c1ccccn1,1.637189422,526
Clc1ccc(Cc2nc(-c3ccccc3)n[nH]2)cn1,1.302763708,1306
Cc1ccc(-c2cn(CC3CCN(Cc4c[nH]c(C)n4)CC3)nn2)cc1,1.397940009,195
Cc1ccc(-c2nnc([C@H]3CCN(Cc4cc5ccccc5o4)C3)o2)cc1,1.201397124,1369
c1ccc(C2(c3ccccc3)CCCN(Cc3nnc(C4CC4)o3)C2)cc1,1.550961752,1229
Cc1cc(NC(=O)N2Cc3cc4c(cc3C3(CCCC3)C2)OCCO4)no1,-0.522878745,1905
Cc1ccc(NC(=O)Cc2c[nH]c3ccccc23)cc1,0.748188027,586
O=C(NCc1nncn1-c1ccccc1)C1CCCC1,1.636086515,865
Cc1oc(C)c(C(=O)N(C)Cc2ccccc2N2CCOCC2)c1C,1.790636962,884
CCN(CC)S(=O)(=O)c1ccc2c(c1)CCN2CC(=O)NCc1ccccc1F,1.640580806,499
N#Cc1c(O)c(Cl)c(Cl)c(C#N)c1Cl,1.495544338,2107
Cc1cc(NC(=O)Cn2nc(C3CC3)ccc2=O)ccc1Cl,-0.065501549,1830
Cc1nc(N2CCN(C)CC2)nc(C)c1NC(=O)C1CCCCC1,1.778440684,713
O=C(Nc1ccn(-c2ncccc2Cl)n1)c1csnn1,1.454692449,2033
CC(=O)Nc1ccnn1C1CCN(Cc2ccccc2C#Cc2ccccc2)CC1,1.412292509,1190
Cc1sc2ncnc(OCC(=O)Nc3ccc4c(c3)OCO4)c2c1C,-0.585026652,1882
CN(C)c1cc(CNC(=O)C2CCOCC2)ccn1,1.614897216,1196
CC(C)CN1C(=O)C(=O)N(Cc2ccccn2)C1=O,1.593618308,833
COc1ccc(S(=O)(=O)CCC(=O)Nc2ccc3c(c2)N(C)C(=O)CO3)cc1,1.793930007,290
COc1ccc(CCn2c(C3CC3)n[nH]c2=O)cc1,1.452553063,730
O=C1CN(C(=O)c2ccc(F)cc2)CCN1,1.672190251,1054
Cc1ccc(NC(=O)OC(C)(C)C)c2c1N(C(=O)[C@H]1CCCO1)CCC2,1.507720977,723
O=C(CCOc1ccccc1)N1CCCC(c2n[nH]cc2-c2ccc(Cl)cc2)C1,-0.096910013,1841
COCCNC(=O)CN1CCN(c2nccn2-c2cccc(Cl)c2)CC1,1.784331948,699
C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)c(F)c1,1.330413773,1558
CC(C)(C)C(=O)N1CCC(CN2C(=O)C(=O)N(C3CCCC3)C2=O)CC1,1.824581376,1291
CN(C)c1cnn(CCC(C#N)(c2ccccc2)c2ccccc2)c(=O)c1,1.346744055,1158
CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(OS(=O)(=O)C(F)(F)F)c3n2)COC1,-0.397940009,2018
CCOc1ccc(C(=O)Nc2cc(C(=O)OC)ccc2N2CCN(C(C)=O)CC2)cc1,0.382017043,1252
COc1cc(OC)cc(C(=O)Nc2nc3c(s2)COc2ccccc2-3)c1,-0.408935393,2119
O=C(OCc1cc(Cl)ccn1)c1ccc2[nH]c(C(F)F)nc2c1,1.544440137,1348
N#Cc1ccc(NS(=O)(=O)c2c[nH]c3nc(Cl)ccc23)c(F)c1,1.117271296,1787
Cc1cccc(NC(=O)c2cccc3ncccc23)c1,0.685741739,736
Oc1ccc(-c2noc(C3CC3)n2)cc1,1.689752696,1918
CC(C)(C)NC(=O)Cn1nc(C(c2ccccc2)c2ccccc2)oc1=O,0.779596491,983
CC(=O)Nc1ccc2nc(C)cc(O)c2c1,1.587710965,133
OC[C@H](Nc1cncc(-c2ccc3[nH]ncc3n2)c1)c1ccccc1,1.514149134,48
Cn1cc(-c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2)cn1,0.492760389,194
O=C(CCCc1nc2ccccc2[nH]1)N1CCCC1,1.553761698,1133
CCn1cc(CN2CCC(c3nc(N(C)C)ncc3-c3ccc(OC)cc3)CC2)c(C)n1,1.73239376,593
Cc1n[nH]c(C)c1CCC(=O)N1CCOCC1,1.40790054,1169
CC(C)C(=O)N1CCC(Nc2ncnc3ccsc23)CC1,1.680969718,587
Cn1cc(C#N)cc1-c1nc(C2CC2)nn1CCc1ccccc1,1.692318044,489
Cc1cccc(OC2CCN(CC(N)=O)CC2)c1,1.897517129,431
Cc1cc(C)nc(Nc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc2)n1,1.823637222,129
CNC(=O)c1cccc(Cn2nnc(-c3ccccc3Cl)n2)c1,1.360404055,945
Cc1nccn1CCCN1C(=O)SC(C)(C)C1=O,1.465828815,866
Cc1nn(C)c2ncc(C(=O)Nc3ccc4c(c3)CCO4)cc12,1.360214613,401
COc1ccc(Nc2nc(N)nc(CN3CCN(Cc4ccccc4)CC3)n2)cc1,1.813647695,565
Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,1.267171728,1218
Cc1nnc(-c2ccccc2-c2c[nH]nc2C)s1,1.490239485,2101
CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,1.516204735,1599
Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],1.476396827,2104
COc1cccc(-c2cccc(N)n2)c1F,1.260071388,1385
O=C(CNc1ccc(C(=O)N2CCCC2)cc1)N1CCCCC1,1.734399743,836
Cc1csc(N(C(=O)c2cc3c(C)nn(C)c3s2)C2CC2)n1,1.758381942,478
Cc1cnc(Cl)nc1-c1ccc(N(Cc2ccc(CNC(=O)C(F)F)cc2)C(=O)c2ccc(O)cc2O)cc1,1.440279213,1173
Cc1ccc(N/N=C2\C(=O)N(C)N=C2Nc2ccccc2Cl)cc1,-0.301029996,1959
Cn1ccc(NC(=O)c2cc(-c3ccncc3)nc3ccccc23)n1,1.498310554,1665
CN(CCN1CCOC1=O)C(=O)c1cc2cc(Br)ccc2o1,1.706973676,457
COc1ccc(-c2nnc(-c3ccccc3)o2)cc1OC,0.63748973,1059
CNC(=O)c1ccc(-c2nnc(-c3cccc(C)c3)o2)cc1,-0.677780705,2166
COC(=O)[C@@H]1C[C@H](O)CN1CCc1ccccc1F,1.753965866,1543
CNC(=O)c1ccc(N(C)C2CCC2)nn1,1.674585602,173
O=c1ccc(-c2ccc(F)cc2)nn1Cc1ccncc1,1.662285516,1116
CCN1CCC(Nc2ncnc3c2cnn3C)CC1,1.511482289,363
Cc1ccccc1COC1CN(C(=O)Cn2c(=O)[nH]c3ccccc32)C1,1.654946227,1274
Cn1c(=O)n(C2CCCC2)c(=O)c2c(F)cccc21,1.41447195,993
Nc1cnc(Cc2ccc(F)cc2)nc1,1.582404298,654
O=C(c1sc(N2CCOCC2)nc1-c1ccccc1)N1CCCCC1,1.766115283,94
CN(Cc1ccc2c(c1)OCO2)Cc1ccccc1C#N,1.448087667,473
Cc1cc(C)c(NC(=O)Cn2nnn(-c3cccs3)c2=O)c(C)c1,-0.113509275,1819
Cc1nnc(NCc2cccnc2)c2ccccc12,1.476106717,938
N#CC1(C(=O)N2CCN(Cc3ccccn3)CC2)CCCCC1,1.716587578,391
CCOC(=O)c1c(C)[nH]c(CN(Cc2ccccc2)C(=O)c2ccccc2Cl)c1C,0.711807229,269
N#Cc1cccc(-c2ccc3[nH]ccc3c2)n1,0.562292864,838
Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,1.714916248,154
Cc1cccc(C(=O)NCC#Cc2ccccc2)n1,1.472463897,439
COc1ccc(CN(C)C(=O)Nc2ccccc2)cc1F,1.66133934,1072
Fc1ccc(F)c(CN2CCN(Cc3ccc4c(c3)OCO4)CC2)c1,1.42975228,633
COc1cncc(-c2ccnc3[nH]ccc23)c1,1.380211242,1433
COc1ccc(-c2nnc(NC(=O)c3ccc4ccccc4c3)o2)cc1OC,-0.568636236,2099
CCc1nc(NC(=O)c2ccccc2F)sc1C,1.361916619,1018
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(O)cc1,0.51851394,510
Cc1ccc(C)c(NC(=O)CN2CCCN(c3ccc(C(F)(F)F)cn3)CC2)c1,1.077367905,1079
COc1ccccc1-c1ccc(CC2(C(=O)NC3CC3)CCOCC2)cc1,1.621280168,1448
CSCCc1nc(-c2cc(C)nc3cc(F)ccc23)n(CCO)n1,1.380934463,318
CCCN(C(=O)c1c(CC)noc1C)C1Cc2ccccc2C1,1.571475904,434
Fc1ccc(-c2cc(C3CCNCC3)ccn2)cc1,1.613101517,1654
Cc1cc(C(=O)NCCc2ccccn2)c(C)s1,1.613630435,778
COc1ccccc1CNC(=O)c1cnc(C2CCN(C(=O)C(C)(C)C)CC2)nc1C,1.842921121,305
O=C(c1cc(-c2ccccc2)[nH]n1)N1CCc2ccccc21,-0.075720714,2053
Cc1cccnc1NC(=O)CCn1cnc2ccccc21,1.682145076,352
Cc1oc(C)c(C(=O)Nc2ccn(C)n2)c1C,1.564666064,708
CC(C)CC(=O)Nc1ccc(Cl)c(C#N)c1,1.3818368,2092
Cc1ccccc1N(CC(=O)O)S(C)(=O)=O,1.649918719,2151
CCCN1CCCN(C(=O)c2nc3ccccc3[nH]2)CC1,1.693287157,1598
CNc1cc(CC2CCNCC2)ncn1,1.486005186,1969
COc1nn(C)cc1C(=O)Nc1cccc(-c2cnc3n2CCC3)c1,1.559308011,32
CC(C)S(=O)(=O)c1ccc2nccc(Nc3ccc4scnc4c3)c2c1,1.58591171,1802
O=C(CC1CCCC1)NCc1nnc2n1CCC2,1.498586209,1503
CN(C(=O)OC(C)(C)C)c1ccc2ccccc2n1,-0.552841969,1838
CCc1cc2c(N(C)CCO)ncnc2s1,1.611404638,249
COc1ccc(-n2c(Cn3cnc(C#N)n3)nc3ccccc32)cc1,1.556543708,244
CC(C)c1cnc(COc2ccc(Br)nc2)o1,1.61992771,1145
Cc1ccsc1C(=O)Nc1nc2ccccc2s1,-0.537602002,1907
O=c1c(N2CCCC2)c(Cl)cnn1-c1ccccc1,1.233757363,2113
CCOc1ccccc1CNCCc1c[nH]c2ccccc12,1.597804842,1029
Cc1csc(CN(C)c2ccnc(N(C)C)n2)n1,1.660770644,488
Cc1ccc(CCNC(=O)N2CC(C)(C)OC(C)(C)C2)cn1,1.61415871,551
CCOC(=O)c1ccc(S(=O)(=O)N2CCc3cc(C(=O)OC)ccc32)cc1,-0.080921908,1976
Cc1ccc2c(CC(=O)N(C)Cc3nnc4n3CCC4)coc2c1C,1.736715134,768
NCc1ccc(Oc2ccccc2)nc1,1.342422681,1671
COc1ncccc1NC(=O)c1cccc(C)n1,1.378034322,1750
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1.780605306,63
O=C(Cc1ccc2c(c1)OCCO2)NC1CCCCCC1,1.624591459,1312
C#CCNC(=O)CCc1c(C)nn(C)c1C,1.784831178,1327
CCN1C(=O)C(=O)N(Cc2sc3ccccc3c2Cl)C1=O,-0.522878745,2156
O=c1[nH]c2ccccc2n1C1CCN(Cc2nnsc2Cl)CC1,0.991226076,631
CCC1=Nc2c(cnn2-c2cccc(Cl)c2)C2=NCCCN12,1.72607487,2109
O=C(c1ccccn1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1,1.476396827,1099
O=C(NCc1ccc(O)cc1)Nc1ccncc1F,1.577836341,1751
CN1C(=O)CCc2cc(NC(=O)C(C)(C)c3ccccc3F)ccc21,1.907250083,1562
Cc1nnc(-c2ccccc2-c2ccc(O)cc2)s1,1.699751032,1191
COc1ccc(CC(=O)N2CCc3[nH]c4ccc(Cl)cc4c3C2)cc1OC,0.826074803,1475
COc1ccc(C)cc1-n1ccc(C(=O)NC(C)C)n1,1.552668216,842
Nc1nc(-c2ccccc2)nc2nc(C3CCCN(CC(=O)N4CCCC4)C3)ccc12,1.836165816,1159
O=C(NCc1nnc2n1-c1ccccc1CC2)c1ccc2ccccc2c1,1.535800291,1461
Cc1nn(-c2ccc(C(=O)O)cc2C#Cc2ccccc2)c(C)c1C,1.666424373,128
CC(=O)Nc1nc(-c2c(C)cc(C)cc2C)cs1,1.283301229,1404
Cc1ccc(/C(N)=N/OC(=O)c2ccc3c(c2)OCCO3)cc1,-0.48148606,1995
Cc1ccc(CN(C)Cc2c(C)noc2C)o1,1.500099192,1593
CC1(C)C(=O)N(Cc2ccc(CO)cc2)C(=O)c2ccccc21,1.438700533,2075
c1ccc(CO[C@@H]2CCC[C@H]2n2cc(-c3nccs3)nn2)cc1,1.195346058,151
Cc1ccnc(NC(=O)CN(C)c2ncnc3sc4c(c23)CCC(C)C4)c1,0.588831726,2069
Fc1ccc(Nc2nc(N3CCCCC3)c3nccnc3n2)cc1,-0.920818754,1877
COc1cc2c(cc1OC)CN(C(=O)C1CCCN(C(=O)Nc3ccccc3)C1)CC2,1.8162413,783
Oc1cccc(/C=C/c2nc3ccccc3o2)c1,-0.15490196,1857
CC(=O)Nc1cnn(CC2CCN(C)CC2)c1,1.371067862,1174
Cc1cc(C)n(-c2ccc(C(=O)NCc3cccnc3)cc2)n1,1.65724713,607
Cc1cnc(NC(=O)Cc2coc3cc(C)c(C)cc23)s1,-0.494850022,2162
CN(CC(=O)NC1(C#N)CCCC1)c1ccccc1,1.667639706,1055
Cc1csc(NC(=O)c2cccc(C)c2C)n1,1.052693942,1639
CN(C)c1cccc(C(=O)N2CCCC(c3cccc(-c4cccs4)n3)C2)c1,0.322219295,281
CC(C)CNc1nnc(SCc2ccncc2)s1,1.680788612,126
COc1cccc2cc(C(N)=S)/c(=N/Nc3ccccc3)oc12,-0.346787486,1796
CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,1.698535493,208
Cc1nn(C)c2ncnc(N(C)Cc3cccc(Cl)c3)c12,1.351796307,1230
