SMILES,LOG HLM_CLint (mL/min/kg),uidx
CS(=O)(=O)CCNC(=O)N1CC2(CCCC2)c2ccccc21,0.984302232,649
CC(C)Oc1cccc(C(C)NC(=O)c2ccnc(-n3cncn3)c2)c1,1.850155922,2467
Cc1ccccc1NC(=O)Cn1nnc(C2CC2)n1,0.675686709,2211
Nc1c(-c2ccc(F)cc2)ncn1Cc1ccccc1,1.163936209,2875
COc1cccc(Oc2ccc(NC(=O)CN3CCOCC3)cn2)c1,0.675686709,1919
Cc1c(C(=O)Nc2ccc(CO)cc2)nnn1Cc1ccc(Cl)c(Cl)c1,0.709524356,2429
Cc1ccc(-c2nc(CC(=O)NCCC(C)C)cs2)cc1,2.666785588,1566
FC(F)(F)COc1ccc(CN2CCc3c(cnn3-c3ccccc3)C2)nn1,1.354953146,1078
C[C@@]1(c2ncncc2F)NC(=O)c2cc(-c3cn[nH]c3)ccc21,0.675686709,152
CCOC(=O)c1cccnc1SCc1cccnc1,2.46652954,2011
Cc1noc(C)c1CCC(=O)Nc1cccnc1,0.675686709,1102
CCCn1ncc2ccc(C3CCCN(CC(=O)N4CCCC4)C3)nc21,1.44120795,399
O=C([C@H]1CCCN(Cc2ccc(Cl)cc2)C1)N1CCc2ccccc2C1,2.399486814,278
Cc1nc(N2CCc3c(ncn3C)C2)c2c(C)c(C)sc2n1,1.974221452,974
Cc1[nH]nc(CCC(=O)NCCCOC2CCCC2)c1C,1.526804344,2565
CCc1ccc(CNc2nncs2)o1,0.890309217,2481
Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C,0.675686709,2538
COc1ccc(CCCNc2nnc(C)o2)cc1,0.675686709,1853
O=C(CN1CCC(n2c(=O)[nH]c3ccccc32)CC1)N1CCc2ccccc21,1.018034403,1440
CN(CCC#N)Cc1cc(C#N)ccc1F,0.675686709,1839
COc1ccc(CN2CCC(c3cc[nH]n3)CC2)cn1,0.675686709,3036
CC(C)(C)c1cc(C(=O)CSc2nnnn2-c2ccccc2)cc(C(C)(C)C)c1O,1.41703964,3044
c1cc(-c2nnc(NCc3cncs3)o2)ccn1,0.675686709,2043
Cc1ccc(S(=O)(=O)N2CCCc3ccc(NS(=O)(=O)c4cc(F)ccc4F)cc32)cc1,2.387151611,2897
Cc1cc(Oc2ncccn2)ccc1NC(=O)c1c(C)oc(C)c1C,0.675686709,586
O=c1c(-c2ccc(F)cc2)c(-c2ccncc2)[nH]n1-c1ccc(Cl)cc1,0.675686709,450
Cc1nnc(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)o1,0.675686709,3056
Cc1ccc2nc(C)c(C(=O)NOCc3ccccc3)cc2c1,1.284453294,674
CCc1oc2c(-n3cnnc3)cccc2c1C,2.046417117,1454
CN1C(=O)N(CC(=O)NCc2ccc(Cl)cc2)C(=O)C12CCCCC2,2.900687678,656
O=C(CSc1ncn[nH]1)N(C1CCCCC1)C1CCCCC1,2.077872774,752
O=C1CNC(=O)N1CCCN1CCc2sccc2C1,0.675686709,351
CN(C)Cc1ccnc(NC(=O)c2ccsc2)c1,0.82445127,3016
O=C(CCN1C(=O)CCC1=O)Nc1cccc2ncccc12,0.675686709,423
CC(=O)Nc1sc2c(c1-c1nc3ccccc3s1)CCN(C(C)C)C2,1.542161534,2751
Cc1nnc(CN(C)CC(C)Oc2ccc(Cl)c(Cl)c2)n1C,2.121697694,46
O=C(NO)c1cnc(NC2(c3cccc(F)c3)CCCCC2)nc1,1.15703345,2928
Cc1cc(C(=O)Nc2cccc(-c3cnco3)c2)c2c(C)nn(C)c2n1,1.46265251,1293
CCN(C(=O)CO)[C@H]1CN(/C(=N\C#N)Nc2cccc(OC(F)F)c2)N=C1c1ccc(Cl)c(Cl)c1,1.652874598,1808
Cc1ccc2oc([C@H]3CCN(Cc4ccc(C#N)cc4)C3)nc2c1,1.617535012,1782
c1ccc(CN2CCn3nccc3C2)cc1,0.675686709,1514
Cc1ccc(-c2ccnc(O)c2C#N)cc1,0.675686709,1509
Cc1cn[nH]c1C1(C)CCN(Cc2cnn(C)c2)CC1,0.675686709,380
Cc1csc(Cc2nc(-c3ccc(O)cc3)no2)n1,1.179637952,2289
CN(Cc1cnn(C)c1)c1ncnc2c1oc1ccccc12,1.294840836,364
COc1ccc(-c2nnc3ccc(C(F)(F)F)cn23)cc1OC(C)C,1.494766629,661
Cc1nc2ccccc2n1CCNc1ncccn1,0.675686709,2927
O=C(Nc1c(F)cccc1Oc1ccccc1)c1cnccn1,1.539402325,2820
Cn1cc(C(=O)N2CCC(c3cc(C(F)(F)F)c4c(n3)CCNC4=O)CC2)ccc1=O,0.675686709,1349
Cc1nn(-c2ccc(C(=O)O)cc2C#Cc2ccccc2)c(C)c1C,0.675686709,205
CN(C)c1ccnc(NCc2ccc(F)cc2)n1,1.73254654,2838
COc1cccc(C)c1C(=O)N(C)CCCn1cccn1,1.579577829,2463
CCCCCCCC/C(=C\CCCCCCCC(=O)O)[N+](=O)[O-],1.631960961,1823
CS(=O)(=O)NC1CCCN(c2nc3ccccc3o2)C1,0.675686709,2172
O=C(NCc1cnn(-c2ccccc2)c1)C1CCC1,0.675686709,233
Cc1ccc(F)c(-c2noc(N)c2C)c1,1.292743271,2586
Cc1nc2ncccn2c1C(=O)N(CC#Cc1ccccc1)C1CCCC1,1.804405246,706
COc1cc2nc(CN3CCC(CO)CC3)[nH]c(=O)c2cc1OC,0.675686709,2371
O=c1c(-n2ccnn2)c[nH]n1-c1cc(N2CCOCC2)ncn1,0.675686709,1059
Nc1nc(N)c2c(Cl)c(Br)ccc2n1,0.866582677,1343
COC1(c2nc(Cc3ccccc3)no2)CCN(Cc2ncccc2Cl)CC1,2.088671093,2418
CCSCCC(=O)NCCn1nc(C)c(CC)c1C,2.164974107,1950
Cc1ccc(-c2nc(NCc3ccco3)ncc2-c2cc(C)no2)cn1,1.942241269,242
CC(C)(O)C(=O)N1CCC(c2ccc3c(NCc4ccccc4F)n[nH]c3n2)CC1,0.921842481,791
CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccc(C(C)C)cc2)CC1,2.128396037,1279
CC(C)NC(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1,2.255940322,762
O=C(CN1CCCC1=O)N1CCc2nc3sccc3c(=O)n2CC1,0.675686709,2732
O=C(Cc1cccc(I)c1)N1CC(CO)C1,0.675686709,1452
COc1ccc(N2CCCN(CC3CCN(C(=O)C4CC4)CC3)CC2)cc1,0.701654317,1190
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,0.675686709,52
Cc1noc(C2CCN(CC(N)=O)CC2)n1,0.999478534,1751
O=C(NC1CCNCC1)c1ccc2cn[nH]c2c1,1.206637011,3053
CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC,0.675686709,437
CCC(=O)NCc1cc(C2CC2)n(C2CCCC2)n1,1.002856926,749
Cc1ccnc(NCc2cccnc2)n1,0.675686709,1943
O=C(C1CC1)N1CCCC(C(=O)N2CCc3ccccc3C2Cc2ccccc2)C1,2.808403425,1764
C[C@@H](CO)Nc1nc(C(F)(F)F)nc2[nH]cnc12,0.675686709,562
CC(C)C[C@@H](CO)n1cc(-c2ccccc2Cn2cccn2)nn1,2.003417445,850
O=c1oc2cccnc2n1Cc1cnn(-c2ccccc2)n1,0.675686709,3034
COCc1nc(C2CCN(CCO)CC2)no1,0.675686709,1838
CNC(=O)c1cnc(/C=C/c2csc(-c3cccs3)n2)s1,1.535926741,386
CCONC(=O)c1cncn1-c1ccc(F)cc1,0.675686709,505
O=C(Cn1c(=O)c2cccn2c2ccccc21)NCCCN1CCCC1,0.675686709,279
CCn1nccc1CNc1ncccn1,0.675686709,1886
c1ccc(-c2nsc(N3CCCN(c4nccs4)CC3)n2)cc1,2.160546559,1118
COCC1(c2nc(-c3ccncc3)nn2Cc2cccc(Cl)c2)CC1,2.532381056,1581
c1ccc2c(c1)CCN(Cc1nnc3n1CCC3)C2,0.675686709,1537
O=C(Nc1ccc(CN2CCCCC2)cc1)c1ccnc2[nH]cnc12,0.888010912,3077
Cc1c(C(=O)NCCc2cc3nc(-c4ccco4)ccn3n2)cnn1C,1.46169357,3015
O=C(Nc1nccs1)c1c2c(nc3ccccc13)CCC2,1.119816546,750
O=c1c2sccc2nc2n1CCN(Cc1cc(F)ccc1F)CC2,2.081203239,2628
COC(C)(C)C(=O)Nc1ccnc(C(C)(C)C)n1,1.036229544,2030
CN1CCN(c2oc(-c3cccc4ccccc34)nc2C#N)CC1,1.974396541,2681
CCc1ccccc1NC(=O)c1cc(C)nc2onc(C)c12,1.71393553,597
Cc1ccc2cc(C(=O)N(C)CCC#N)[nH]c2c1,1.790981448,1807
Cc1cc(C(=O)N(C)C2CCSCC2)c(=O)n(C)c1C,1.46386314,2151
CC(C)CC(=O)N1CCC(Cc2cccc(-c3cncnc3)c2)(C(=O)NC(C)C)CC1,2.299814443,522
CS(=O)(=O)N1CCC(Nc2ccc3ccc(F)cc3n2)CC1,0.771146349,1744
CNc1ncc(-c2nc(C3(c4ccccc4)CC3)nn2C(C)(C)C)cn1,1.788642017,359
CC(=O)N1CCN(C(=O)CS(=O)(=O)C23CC4CC(CC(C4)C2)C3)CC1,0.675686709,2337
CCc1nnc(N2CCCO2)c(C#N)c1CC,1.220787776,2454
CC(Oc1ccc(Cl)cc1)C(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,1.558852512,1728
COC(=O)c1cccc2c1CCCN2C(=O)c1ccccc1,2.892047273,2671
NC1CCCC(C(=O)Nc2ccc3[nH]ncc3c2)C1,1.104862518,3070
COCCc1nc(-c2ccccc2-c2ccccc2)n(CCO)n1,1.388633969,1495
CC1CCN([C@H](c2ccc(F)cc2)c2ccc([C@@H](C)C(=O)O)cc2-c2ccc(C(F)(F)F)cc2)CC1,0.894224095,138
Cc1cc(C)c(NC(=O)c2cc(Cl)ccc2F)c(C)n1,0.913548958,1544
CCCc1nn(CCCN2CCCCC2)c(=O)o1,1.133858125,2127
CCCn1cc(CNc2ncccn2)cn1,0.675686709,2970
CCOc1ccc2[nH]c(C(=O)N3CC[C@@](O)(CC(C)C)[C@@H](Oc4ccc(F)cc4)C3)c(C)c2c1,2.036780553,2293
O=c1cc2c(n[nH]1)-c1cnc(N3CCCC3)nc1CC2,0.823669813,1869
Cc1cc(C(=O)N(C)Cc2ccccc2C)[nH]n1,0.675686709,2770
COCc1nn(CCCN2CCCCC2)c(=O)o1,0.675686709,2128
Cn1c(C2CC2)nc2c1CCN(c1ncnc3ccsc13)C2,1.503858749,85
CCc1c[nH]c2ncnc(N3CCC(CN4CCN(C)CC4)CC3)c12,0.675686709,3078
Oc1ccc(CN2CCN(c3cccc(Cl)c3)CC2)cc1,1.526093625,584
O=C(Cc1cccnc1)Nc1ncccc1Cl,0.675686709,2069
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,0.881384657,3002
Cn1cncc1CCNC(=O)[C@H]1CC1(C)C,0.675686709,958
Cc1csc(NC(=O)CCc2ccncc2)n1,0.675686709,541
c1ccc(CCn2cnc3c2CCN(c2ncccn2)C3)cc1,2.314783332,1490
Cc1nc2ccccn2c1CC(=O)NCCCSc1ccccc1,1.891241881,381
O=C(NCCc1cnn[nH]1)C1Cc2ccccc2C1,0.675686709,2098
COC(=O)Nc1ccc(Oc2nc3ccccc3o2)cc1,0.675686709,1288
Cn1cnnc1-c1cccc(NS(=O)(=O)c2cc3c(cc2Cl)OCCO3)c1,1.203576775,2652
CSC1(CNc2cncc(Cl)n2)CCOCC1,1.006893708,2971
COCC(=O)Nc1ccc(C)c(NC(=O)[C@H](OC)c2ccccc2)c1,1.930623061,2300
O=C(C1CCC(O)CC1)N1CCCN(c2ccc(F)cc2)CC1,1.076312688,174
O=C(CCc1ccc2c(c1)OCO2)Nc1cccc2cnccc12,1.621996303,1123
Cc1ncc(CCN2C(=O)NC3(CCCC3)C2=O)s1,0.675686709,2315
Cn1nc(C2CC2)c2[nH]c(-c3cccc(CN4CCOCC4)c3)nc21,1.273834318,1281
Cc1cnn(CC2CC2)c1NC(=O)/C=C/c1ccccc1,1.140570889,941
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(O)cc1,1.657199319,587
Cc1ccc(C(=O)N(C)C)cc1NS(C)(=O)=O,0.675686709,1001
Cc1nc2ccc(NC(=O)c3sc(-c4ccccn4)nc3C)cc2s1,1.009025742,492
CCOCC(=O)N1CCC2(CCc3ccccc3O2)CC1,1.011908613,931
CCN(C(C)=O)c1ccc(C)cc1C(=O)O,0.675686709,769
N#Cc1cnc2cc(F)cc(F)c2c1NC1CCN(CC(N)=O)CC1,0.675686709,2650
O=C(NC1(c2ccccc2)CCC1)c1cc(C2CC2)on1,0.911743378,803
CCc1c(O)cc(O)c(C(=O)c2ccc(OCCN3CCOCC3)c(OC)c2)c1CC(=O)N(CCOC)CCOC,1.449447542,2254
CN(C)CCN(Cc1ccccc1)C(=O)CCC(=O)Nc1ncc(-c2ccccc2)n1C,1.964019075,1412
O=C(CCCC(=O)N1CCN(c2nsc3ccccc23)CC1)Nc1nccs1,1.867673685,2079
C[C@@H](c1ccc2ccc(O[C@H]3CC[C@@H](C(F)(F)F)CC3)c(C(F)(F)F)c2c1)N1C2CCC1CC(C(=O)O)C2,0.879841056,702
Cn1cc(Nc2nccc(N3CC4CCC(C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1,0.860996437,21
CC(C)CN(c1ncnc2c1cnn2C)C1CC1,1.703334375,460
Cc1[nH]c2ccc(Cl)cc2c1CC(=O)N1CCC(Cc2ncncc2C(N)=O)CC1,2.552589136,712
O=C(O)c1cnn(-c2nc3cc(Cl)c(OC(F)(F)F)cc3[nH]2)c1,0.675686709,2143
c1ccc(OCc2cc(CC3(NCc4cnc5ccccc5c4)COC3)no2)cc1,2.184671561,355
COc1ccc(NC(=O)CN2CCCC2)cc1,0.675686709,2835
CCN1CCOC(C(=O)N2CCC(c3cn[nH]c3)CC2)C1,0.675686709,3083
O=C(NCC1(N2CCCCC2)CCCC1)c1cnn[nH]1,0.675686709,2572
O=c1c2ccncc2ncn1[C@H]1CCN(Cc2ccccc2)C1,1.353800865,2050
Cc1cc(N)n(-c2ncnc3sc(C)c(-c4ccc(Cl)cc4)c23)n1,1.974212235,498
CN(c1ncc(F)cn1)[C@H]1CCCNC1,0.675686709,2
O=C(O)c1ccc(N2CCCC2)c(F)c1,0.675686709,287
COc1ccc(N)c(OCc2ccccc2)c1,2.01301428,2118
NC(=O)C1CCN(C(=O)CCc2ccc(Cl)cc2)CC1,0.675686709,984
CC(C)c1noc(-c2ccc(N)cc2)n1,1.673030128,2883
Cc1cccc(NC(=O)CN2C(=O)N(C)C3(CCCCC3)C2=O)c1C,2.704014027,1847
O=C1CCC(=O)N1CCN1CCCCc2ccccc21,2.08705699,744
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.675686709,128
CCCCCCNc1ncnc2[nH]ccc12,1.850480817,1313
Cc1nn(C)c(C)c1NC(=O)CN1CCC2(CCCCC2)CC1,1.091948191,1536
CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C,1.731274412,1563
CC(C)CN1C(=O)C(=O)N(Cc2ccccn2)C1=O,0.675686709,910
C[C@@H]1NC(=O)N(CCC2Cc3ccccc3C2)C1=O,0.675686709,2052
Cc1ncsc1CN1CCCN(c2nc3ccccc3[nH]2)CC1,1.562506984,231
CNC(=O)CC1CCN(c2ncccn2)CC1,0.675686709,685
Fc1ccc(NCc2cccc(OCCN3CCOCC3)c2)nc1,1.008344629,936
Nc1ccc(CC(=O)Nc2ccccc2F)cc1,0.675686709,1148
Cc1cc(NC(=O)c2cccs2)no1,1.597804842,594
COc1ccc(Nc2nc(N)nc(CN3CCN(Cc4ccccc4)CC3)n2)cc1,1.398183146,642
Cc1ccc(-c2cn(CC3CCN(Cc4c[nH]c(C)n4)CC3)nn2)cc1,0.675686709,272
Cc1ccc2c(c1)c(Cn1ccnc1-c1cccc(C)n1)nn2C,2.085358376,1556
COc1nc(C)nc(N(C)Cc2nccs2)c1C,2.116677465,244
CC#CC(=O)N1CC[C@@H](n2cc(-c3ccc(Oc4c(F)cccc4F)cc3)c3c(N)n[nH]c(=O)c32)C1,1.620136055,35
CCOc1ccc(-c2ccccc2NC(=O)COC)cc1,2.59989944,384
Cc1cccnc1CNc1ccc(C#N)cc1F,1.517354274,557
CC[C@@H]1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1c1ccn(C)n1,1.640898636,2316
CCn1nc(CNC(=O)C2CCOCC2)c2ccccc21,0.675686709,2382
COc1cncc(-c2ccnc3[nH]ccc23)c1,1.826541257,1510
Cc1ccc(-c2cc(NC(=O)CN3CCOCC3)on2)cc1,0.675686709,392
CCS(=O)(=O)Cc1ccn(-c2cccc(F)c2)n1,0.675686709,1526
COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1,0.675686709,1718
O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1ccccn1,1.14245204,2217
CNCc1cc(N(C)C)nc(C2CCCN2C(=O)C2CN(Cc3ccc(Cl)cc3)C2)n1,0.937517892,2207
CCc1nnc(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)o1,0.675686709,1699
Cc1c[nH]c(C(=O)NCC2(N3CCCCC3)CCCC2)n1,0.882011962,2256
COc1ccc(CNC(=O)CCSc2nc3c(=O)n(C)c(=O)n(C)c3n2C)cc1,1.71613664,2686
COCc1ccc(-c2nc3c([nH]2)c(C)nn3C2CCCCC2)o1,1.714111719,1836
O=C(NC1CC1)c1cccc2cccnc12,0.718335579,1494
c1ccc2nc(NCCn3ccnc3)cnc2c1,0.941809473,2648
Cc1nc(CN2C[C@@H](c3ccc4c(c3)OCO4)[C@@H]3[C@H]2C2CCN3CC2)co1,1.985201858,1399
COc1ccc(Cc2nnn[nH]2)cc1F,0.675686709,2913
COc1nccnc1N1CCC(C(=O)Nc2cccc(F)c2)CC1,2.259651208,2539
CCCCN1CCc2nc3cc(C4CC4)nn3c(O)c2C1,0.675686709,2245
COC(=O)c1ccc(NC(=O)N(C)Cc2ccccc2CN2CCCC2)cc1,1.25947442,1199
CSC[C@H]1CN(Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O,0.675686709,2768
N#CCSCC(=O)NC1CCCCCC1,0.675686709,1169
COc1nc2sc(C(=O)NC3CC3)c(N)c2c(C)c1Cl,0.989894564,133
COc1cc(C)nc(N2CCN(c3ccc4ccccc4n3)CC2)n1,1.558612583,2729
N#CCN(C(=O)c1cn(-c2ccc(Br)cc2)cn1)C1CC1,0.675686709,1427
O=C(CCc1ccc(Cl)cc1)N1CCCC(c2n[nH]cc2-c2cccc(F)c2)C1,2.968260608,1465
Cc1cncc(C2CCN(Cc3cnccn3)CC2)n1,0.675686709,1606
Cc1cccc(/C=N/Nc2cc(N3CCOCC3)n3nc(-c4ccncc4)cc3n2)c1,1.507059385,3086
CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2c1=O,0.675686709,1755
CC(C)[C@H](Nc1ncc(Cl)cn1)C(=O)N1CCCC1,1.18619325,990
CCOc1cccc(C(=O)Nc2ccc3c(c2)CCC(=O)N3C)c1,1.087035665,1680
O=C(CCCc1cc(Cl)sc1Cl)N1CC[C@H](O)C1,1.268648165,871
Cc1ccc(CN(C)C(=O)c2cn(Cc3ccccc3F)nn2)cc1,1.811313546,1217
O=C(CN1CCCC(c2nc3ccccc3o2)C1)Nc1ccc(OC(F)(F)F)cc1,2.126232092,865
Cc1noc(C2CCN(C(=O)C3(c4cccc(F)c4)CCC3)CC2)n1,1.733165153,935
N#Cc1ccccc1Cn1nnc(-c2ccccc2)n1,1.028286509,949
CSc1ccc(C(=O)Nc2cccc(C(=O)NCC(C)C)c2)cc1,2.0743629,2138
N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,1.048286393,16
N#Cc1ccnc(Nc2ccc(F)cc2)c1,2.214263518,2320
CN1CCC(C(=O)N2CCC(c3cc(C(F)(F)F)c4c(n3)CCNC4=O)CC2)CC1,0.675686709,1590
O=C(NCc1cccc(O)c1)Nc1nc(-c2ccncc2)cs1,1.989605531,2845
O=C(CCCCCCC(=O)Nc1ccccc1)NO,0.675686709,2706
Cc1ccc(C#N)c(NC(=O)CCc2ccccc2)n1,1.046690221,3027
COc1cc(C)cc(OC)c1-c1ccc(-c2nn[nH]n2)cc1,0.675686709,2264
CCOc1cc(CN2CCc3c(N)nc(N4CCCC4)nc3C2)ccc1OC,1.424669336,2399
O=C(NCCc1cn2c(n1)CCCC2)c1ccccn1,0.675686709,1323
CC(=O)N1CCN(C(=O)c2ccc(-c3ccc(F)cc3)cc2F)CC1,0.675686709,563
Fc1ccc(-c2cc(C3CCNCC3)ccn2)cc1,0.675686709,1729
CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,2.004110625,12
O=C(c1ccc(F)cc1)N1CCN(CC(=O)N2CCCC2=O)CC1,0.675686709,1609
Cc1cc(CN(C)C(=O)C(=O)Nc2ccc(F)c(C)c2)no1,1.137923512,2925
Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1,0.927934682,2345
O=C(CSCCc1ccccn1)Nc1ccccc1,1.624292412,2175
C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,1.770623763,1876
CC(=O)NC1CCC(NCCSc2ccc(C)cc2)CC1,1.808946556,2183
c1ccc(-c2nccc(NCc3nnc4n3CCCCC4)n2)cc1,1.896845758,2911
CNC(=O)CCc1nc(-c2ccccn2)no1,0.675686709,1338
Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,2.708153952,2664
Cc1cc(C(=O)NCC2CC2)n2nccc2n1,1.409611931,1603
Cc1cc(-c2cccc3ccnn23)nc(N2CCCC2)n1,2.087430008,2994
O=C(O)c1ccc(CN2CC[C@H](c3nc4cc(Cl)ccc4o3)C2)cc1,0.675686709,1448
Cc1nn(C)c2ncnc(N(C)Cc3cccc(Cl)c3)c12,1.451939869,1307
COc1ccc(CNC(=O)c2nnn(-c3ccc(OC)cc3)c2N)cc1,0.874249823,1304
CCCn1ncc(CN2CCC(c3cc4cccnc4[nH]3)CC2)c1C,1.621280168,1868
CNCc1cc(N(C)C)nc(C2CCCN2C(=O)COC)n1,0.675686709,2085
CCCN(C(=O)c1ccccc1N)C(C)C,0.675686709,3000
Fc1ccc(-n2nc(C3CCOCC3)nc2-c2cn[nH]c2)c(F)c1,0.675686709,997
Cc1ccc2nc3c(c(C(=O)NCc4nnc5n4CCC5)c2c1)CCCC3,0.675686709,306
O=C(NCc1cccc2c1OCCCO2)c1cscn1,0.884625463,2874
CCCC1(CNC(=O)Cn2ccc(=O)cc2)CCC1,0.675686709,2412
c1ccc(Nc2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,1.358011032,2503
O=C1NCCCCC1NC(=O)N1CCc2sccc2C1,0.685204134,719
CC(=O)c1ccccc1-c1cccc(C(=O)NCCCN2CCCC2)c1,0.675686709,2089
CCCc1cnc(C)nc1N(C)CCC(C)(C)O,0.910571048,2716
COCC(=O)Nc1ccc(NC(=O)Cc2ccc(C(F)(F)F)cc2)cc1,1.515582451,2346
CC(C)N1CC[C@H](c2nnc(-c3cncn3C)o2)C1,0.675686709,1694
Cc1cc(OCC(=O)N(C)C2CCCCCCC2)no1,1.752923841,202
COc1ccc(C(=O)N2CCCC2)cc1NC(C)C,0.893428842,1424
Cc1nc(NCc2cn(C)nc2-c2cccs2)n(C)n1,0.675686709,2005
Cn1cc(CNc2ncccn2)c(C(C)(C)C)n1,0.675686709,1863
Cn1cc(Br)cc1C(=O)N1CCc2nn[nH]c2C1,0.675686709,2745
Cc1cccc(NC(=O)c2cncn2-c2ccccc2)n1,1.654898161,3048
CC(=O)Nc1cccc(CN2CCCN(C(C)=O)c3ccccc32)c1,2.143629875,1253
c1cc(-c2noc(CN3CCOCC3)n2)ccn1,0.675686709,2591
CCOc1cc(N2CCc3nc[nH]c3C2)ncn1,0.675686709,2760
Cc1ccc2[nH]c(C3CCN(C)CC3)nc2c1,1.945872163,1436
O=C(NCC#CCN1CCc2ccccc2C1)NCc1ccc(F)cc1,1.901223946,953
O=C1NCC2(C/C=C/CCOc3ccccc31)CCN(C(=O)c1ccc3[nH]nnc3c1)CC2,1.6318596,1206
O=c1ccc(-c2ccc(F)cc2)nn1Cc1ccncc1,0.888684847,1193
OCCOc1ccccc1OCc1ncc(Cl)cc1Cl,1.686126613,2305
CCc1nccn1Cc1nc(N)nc(N(C)C)n1,0.675686709,2002
Cc1cc(OCC(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)ccc1Cl,2.63502307,2870
O=C(NCc1ncc(-c2ccccc2)o1)C1CCCCC1,1.621747346,967
CC(=O)NC1CCN(Cc2cccc(-c3cccnc3)c2)CC1,0.781180721,389
